opendata_id,city,postcode,latitude,longitude,ihk_branch_id,nace_id,branch_top_level_id,employees_range,ihk_branch_desc,nace_desc,branch_top_level_desc,business_age,business_type,Bezirk,planungsraum_id,Planungsraum,Bezirksregion,Prognoseraum,Ortsteil
755150660,Berlin,12683,52.527738746,13.571773935,59201,5920,59,0 Beschäftigte,Tonstudios u. H. v. Hörfunkbeiträgen,Tonstudios; H. v. Hörfunkbeiträgen; Verlegen v. bespielten T,"Herstellung, Verleih u. Vertrieb v. Filmen u. Fernsehprogram",27,im Handelsregister eingetragen,Marzahn-Hellersdorf,10300732,Buckower Ring,Biesdorf,Biesdorf,Biesdorf
8121406856,Berlin,14193,52.481775591,13.271459246,6810,6810,68,0 Beschäftigte,"Kauf u. Verkauf v. eigenen Grundstücken, Gebäuden u. Wohnung","Kauf u. Verkauf v. eigenen Grundstücken, Gebäuden u. Wohnung",Grundstücks- u. Wohnungswesen,27,Kleingewerbetreibender,Charlottenburg-Wilmersdorf,04400728,Hagenplatz,Grunewald,Wilmersdorf Süd,Grunewald
8313606544,Berlin,10117,52.510393573,13.378327390,662200,6622,66,0 Beschäftigte,Versicherungsvertreter,Tätigkeit v. Versicherungsmaklerinnen u. -maklern,Mit Finanz- u. Versicherungsdienstleistungen verbundene Täti,27,im Handelsregister eingetragen,Mitte,01100205,Wilhelmstraße,Regierungsviertel,Zentrum,Mitte
126813561254,Berlin,13127,52.612258634,13.433176731,81210,8121,81,200 - 499 Beschäftigte,Allgemeine Gebäudereinigung,Allgemeine Gebäudereinigung,Gebäudebetreuung; Garten- u. Landschaftsbau,16,Kleingewerbetreibender,Pankow,03200309,Eddastraße,Buchholz,Nördliches Pankow,Französisch Buchholz
131890061560,Berlin,12205,52.434579347,13.286400849,70220,7022,70,0 Beschäftigte,Unternehmensberatung,Unternehmensberatung,Verwaltung u. Führung v. Unternehmen u. Betrieben; Unternehm,25,im Handelsregister eingetragen,Steglitz-Zehlendorf,06300634,Lichterfelde West,Drakestraße,Zehlendorf Süd/Lichterfelde West,Lichterfelde
15504956198,Berlin,13089,52.559401371,13.429443631,475910,4759,47,1 - 3 Beschäftigte,EH m. Küchen / Küchenstudio,"EH m. Möbeln, Einrichtungsgegenständen u. sonstigem Hausrat",Einzelhandel (ohne Handel mit Kraftfahrzeugen),25,Kleingewerbetreibender,Pankow,03300516,Heinersdorf,Blankenburg/Heinersdorf/Märchenland,Nördliches Weißensee,Heinersdorf
170863561454,Berlin,12351,52.433855858,13.469298966,47420,4742,47,0 Beschäftigte,EH m. Telekommunikationsgeräten,EH m. Telekommunikationsgeräten,Einzelhandel (ohne Handel mit Kraftfahrzeugen),24,im Handelsregister eingetragen,Neukölln,08401139,Vogelviertel Süd,Buckow Nord,Buckow Nord/Rudow,Buckow
226821061284,Berlin,12685,52.534495885,13.551300323,81292,8129,81,0 Beschäftigte,Desinfektion u. Schädlingsbekämpfung,Reinigung a. n. g.,Gebäudebetreuung; Garten- u. Landschaftsbau,22,Kleingewerbetreibender,Pankow,03200308,Nisbléstraße,Buchholz,Nördliches Pankow,Französisch Buchholz
265476061904,Berlin,10627,52.511346149,13.306806694,711221,7112,71,0 Beschäftigte,Ingenieurbüro f. Elektronik / Elektrotechnik,Ingenieurbüros,"Architektur- u. Ingenieurbüros; technische, physikalische u.",22,Kleingewerbetreibender,Charlottenburg-Wilmersdorf,04300623,Karl-August-Platz,Otto-Suhr-Allee/Kantstraße,Charlottenburg Zentrum,Charlottenburg
276768061072,Berlin,10829,52.482176544,13.356634643,59110,5911,59,50 - 99 Beschäftigte,"H. v. Filmen, Videofilmen u. Fernsehprogrammen","H. v. Filmen, Videofilmen u. Fernsehprogrammen","Herstellung, Verleih u. Vertrieb v. Filmen u. Fernsehprogram",21,Kleingewerbetreibender,Tempelhof-Schöneberg,07200413,Cheruskerstraße,Schöneberg Südost,Schöneberg Süd,Schöneberg
29510956438,Berlin,12623,52.485648891,13.609737926,475910,4759,47,0 Beschäftigte,EH m. Küchen / Küchenstudio,"EH m. Möbeln, Einrichtungsgegenständen u. sonstigem Hausrat",Einzelhandel (ohne Handel mit Kraftfahrzeugen),20,im Handelsregister eingetragen,Marzahn-Hellersdorf,10400941,Pilgramer Straße,Mahlsdorf,Kaulsdorf/Mahlsdorf,Mahlsdorf
32417006680,Berlin,13089,52.559401371,13.429443631,475910,4759,47,0 Beschäftigte,EH m. Küchen / Küchenstudio,"EH m. Möbeln, Einrichtungsgegenständen u. sonstigem Hausrat",Einzelhandel (ohne Handel mit Kraftfahrzeugen),20,im Handelsregister eingetragen,Pankow,03300516,Heinersdorf,Blankenburg/Heinersdorf/Märchenland,Nördliches Weißensee,Heinersdorf
320438561754,Berlin,12347,52.445148426,13.434299101,74301,7430,74,1 - 3 Beschäftigte,Übersetzen,Übersetzen u. Dolmetschen,"Sonstige freiberufliche, wissenschaftliche u. technische Tät",29,im Handelsregister eingetragen,Neukölln,08200726,Hufeisensiedlung,Britz,Britz/Buckow,Britz
40817756710,Berlin,10315,52.505358464,13.518146046,46190,4619,46,0 Beschäftigte,HV v. Waren ohne ausgeprägten Schwerpunkt,HV v. Waren ohne ausgeprägten Schwerpunkt,Großhandel (ohne Handel mit Kraftfahrzeugen u. Krafträdern),17,im Handelsregister eingetragen,Lichtenberg,11401137,Erieseering,Friedrichsfelde Süd,Lichtenberg Mitte,Friedrichsfelde
416473061892,Berlin,12555,52.458454677,13.578939480,477107,4771,47,1 - 3 Beschäftigte,EH m. Damenbekleidung u. Bekleidungszubehör,EH m. Bekleidung,Einzelhandel (ohne Handel mit Kraftfahrzeugen),17,im Handelsregister eingetragen,Treptow-Köpenick,09501939,Bahnhofstraße,Dammvorstadt,Treptow-Köpenick 5,Köpenick
41965206608,Berlin,12623,52.518533137,13.619208882,47770,4777,47,0 Beschäftigte,EH m. Uhren u. Schmuck,EH m. Uhren u. Schmuck,Einzelhandel (ohne Handel mit Kraftfahrzeugen),17,im Handelsregister eingetragen,Marzahn-Hellersdorf,10400938,Mahlsdorf Nord,Mahlsdorf,Kaulsdorf/Mahlsdorf,Mahlsdorf
47560306412,Berlin,13053,52.542307293,13.516818468,4751,4751,47,4 - 6 Beschäftigte,EH m. Textilien,EH m. Textilien,Einzelhandel (ohne Handel mit Kraftfahrzeugen),16,Kleingewerbetreibender,Lichtenberg,11200411,Hauptstraße,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,Alt-Hohenschönhausen
478401061604,Berlin,10707,52.498830729,13.307873861,79110,7911,79,0 Beschäftigte,Reisebüros,Reisebüros,"Reisebüros, Reiseveranstalter u. Erbringung sonstiger Reserv",16,im Handelsregister eingetragen,Charlottenburg-Wilmersdorf,04501043,Preußenpark,Lietzenburger Straße,Wilmersdorf Zentrum,Wilmersdorf
489375061500,Berlin,13156,52.583551583,13.402840553,741021,7410,74,0 Beschäftigte,Grafik- / Fotodesign,"Ateliers f. Textil-, Schmuck-, Grafik- u. ä. Design","Sonstige freiberufliche, wissenschaftliche u. technische Tät",15,im Handelsregister eingetragen,Pankow,03200206,Pastor-Niemöller-Platz,Blankenfelde/Niederschönhausen,Nördliches Pankow,Niederschönhausen
899782871276,Berlin,12105,52.458977976,13.363528910,47111,4711,47,0 Beschäftigte,"EH m. Nahrungs- u. Genussmitteln, Getränken u. Tabakwaren, o","EH m. Waren verschiedener Art, Hauptrichtung Nahrungs- u. Ge",Einzelhandel (ohne Handel mit Kraftfahrzeugen),34,im Handelsregister eingetragen,Tempelhof-Schöneberg,07400822,Lindenhofsiedlung,Tempelhof Südwest,Tempelhof,Schöneberg
2050047071490,Berlin,12103,52.465097126,13.376270762,68321,6832,68,1 - 3 Beschäftigte,"Verwaltung v. Wohngrundstücken, Wohngebäuden u. Wohnungen f.","Verwaltung v. Grundstücken, Gebäuden u. Wohnungen f. Dritte",Grundstücks- u. Wohnungswesen,30,im Handelsregister eingetragen,Tempelhof-Schöneberg,07400823,Wittekindstraße,Tempelhof Südwest,Tempelhof,Tempelhof
499500060,Berlin,10719,52.502336414,13.329366198,64200,6420,64,0 Beschäftigte,Beteiligungsgesellschaften,Beteiligungsgesellschaften,Erbringung v. Finanzdienstleistungen,15,Kleingewerbetreibender,Charlottenburg-Wilmersdorf,04501042,Breitscheidplatz,Lietzenburger Straße,Wilmersdorf Zentrum,Charlottenburg
