opendata_id,city,postcode,latitude,longitude,ihk_branch_id,nace_id,branch_top_level_id,employees_range,ihk_branch_desc,nace_desc,branch_top_level_desc,business_age,business_type,Bezirk,planungsraum_id,Planungsraum,Bezirksregion,Prognoseraum,Ortsteil
132184812,Berlin,12099,52.459608516,13.384820038,471920,4719,47,0 Beschäftigte,Warenhaus (Hauptrichtung Nicht-Nahrungsmittel),Sonstiger Einzelhandel m. Waren verschiedener Art,Einzelhandel (ohne Handel mit Kraftfahrzeugen),NULL,Kleingewerbetreibender,Tempelhof-Schöneberg,07400927,Rathaus Tempelhof,Tempelhof Südost,Tempelhof,Tempelhof
131884792,Berlin,10967,52.486823479,13.425073596,471920,4719,47,0 Beschäftigte,Warenhaus (Hauptrichtung Nicht-Nahrungsmittel),Sonstiger Einzelhandel m. Waren verschiedener Art,Einzelhandel (ohne Handel mit Kraftfahrzeugen),74,Kleingewerbetreibender,Neukölln,08100314,Donaustraße,Reuterstraße,Neukölln,Neukölln
562245112,Berlin,12347,52.444687778,13.432483035,46190,4619,46,0 Beschäftigte,HV v. Waren ohne ausgeprägten Schwerpunkt,HV v. Waren ohne ausgeprägten Schwerpunkt,Großhandel (ohne Handel mit Kraftfahrzeugen u. Krafträdern),38,im Handelsregister eingetragen,Neukölln,08200725,Mohriner Allee Nord,Britz,Britz/Buckow,Britz
78984061936,Berlin,10247,52.518729903,13.467991389,69204,6920,69,0 Beschäftigte,Buchführung (ohne Datenverarbeitungsdienste),Wirtschaftsprüfung u. Steuerberatung; Buchführung,"Rechts- u. Steuerberatung, Wirtschaftsprüfung",27,im Handelsregister eingetragen,Friedrichshain-Kreuzberg,02500728,Samariterviertel,Frankfurter Allee Nord,Friedrichshain Ost,Friedrichshain
116353061412,Berlin,12621,52.514437305,13.588830107,47523,4752,47,0 Beschäftigte,"EH m. Anstrichmitteln, Bau- u. Heimwerkerbedarf","EH m. Metallwaren, Anstrichmitteln, Bau- u. Heimwerkerbedarf",Einzelhandel (ohne Handel mit Kraftfahrzeugen),26,im Handelsregister eingetragen,Marzahn-Hellersdorf,10400835,Kaulsdorf Nord,Kaulsdorf,Kaulsdorf/Mahlsdorf,Kaulsdorf
12210056402,Berlin,12437,52.462147748,13.481756603,47919,4791,47,0 Beschäftigte,Sonstiger Versand- u. Interneteinzelhandel,Versand- u. Interneteinzelhandel,Einzelhandel (ohne Handel mit Kraftfahrzeugen),26,im Handelsregister eingetragen,Treptow-Köpenick,09100304,Baumschulenweg West,Baumschulenweg,Treptow-Köpenick 1,Baumschulenweg
117841061364,Berlin,10829,52.473505686,13.347496008,49410,4941,49,0 Beschäftigte,Güterbeförderung im Straßenverkehr,Güterbeförderung im Straßenverkehr,Landverkehr u. Transport in Rohrfernleitungen,26,im Handelsregister eingetragen,Tempelhof-Schöneberg,07300619,Grazer Platz,Friedenau Ost,Friedenau,Schöneberg
180949561798,Berlin,13597,52.536261362,13.202227613,471920,4719,47,200 - 499 Beschäftigte,Warenhaus (Hauptrichtung Nicht-Nahrungsmittel),Sonstiger Einzelhandel m. Waren verschiedener Art,Einzelhandel (ohne Handel mit Kraftfahrzeugen),3,Kleingewerbetreibender,Spandau,05100316,Carl-Schurz-Straße,Spandau Mitte,Spandau Mitte / Nord,Spandau
19213256530,Berlin,12524,52.425137895,13.527808223,4725,4725,47,1 - 3 Beschäftigte,EH m. Getränken,EH m. Getränken,Einzelhandel (ohne Handel mit Kraftfahrzeugen),24,im Handelsregister eingetragen,Treptow-Köpenick,09300920,Dorf Altglienicke,Altglienicke,Treptow-Köpenick 3,Altglienicke
185254061016,Berlin,13435,52.599483871,13.344243607,46220,4622,46,0 Beschäftigte,GH m. Blumen u. Pflanzen,GH m. Blumen u. Pflanzen,Großhandel (ohne Handel mit Kraftfahrzeugen u. Krafträdern),24,im Handelsregister eingetragen,Reinickendorf,12601134,Märkisches Zentrum,MV Nord,Märkisches Viertel,Märkisches Viertel
