opendata_id,city,postcode,latitude,longitude,ihk_branch_id,nace_id,branch_top_level_id,employees_range,ihk_branch_desc,nace_desc,branch_top_level_desc,business_age,business_type,Bezirk,planungsraum_id,Planungsraum,Bezirksregion,Prognoseraum,Ortsteil
942997871326,Berlin,12555,52.453239019,13.576847678,479198,4791,47,0 Beschäftigte,Verkauf über Internet / e-commerce / Onlinehandel,Versand- u. Interneteinzelhandel,Einzelhandel (ohne Handel mit Kraftfahrzeugen),8,im Handelsregister eingetragen,Treptow-Köpenick,09501940,Güterbahnhof Köpenick,Dammvorstadt,Treptow-Köpenick 5,Köpenick
248374558,Berlin,13629,52.533967976,13.268052775,2651,2651,26,200 - 499 Beschäftigte,"H. v. Mess-, Kontroll-, Navigations- u. ä. Instrumenten u. V","H. v. Mess-, Kontroll-, Navigations- u. ä. Instrumenten u. V","H. v. Datenverarbeitungsgeräten, elektronischen u. optischen",42,Kleingewerbetreibender,Spandau,05300840,Nonnendammallee,Siemensstadt,Haselhorst / Siemensstadt,Siemensstadt
2095085754,Berlin,10999,52.496050088,13.422359788,451101,4511,45,1 - 3 Beschäftigte,EH m. neuen u. gebrauchten Kraftwagen: Personenkraftwagen ei,"Handel m. Kraftwagen mit einem Gesamtgewicht v. 3,5 t oder w",Handel mit Kraftfahrzeugen; Instandhaltung u. Reparatur v. K,37,Kleingewerbetreibender,Friedrichshain-Kreuzberg,02300417,Reichenberger Straße West,Südliche Luisenstadt,Kreuzberg Ost,Kreuzberg
3008605430,Berlin,14089,52.455030151,13.144790124,47730,4773,47,10 - 19 Beschäftigte,Apotheken,Apotheken,Einzelhandel (ohne Handel mit Kraftfahrzeugen),41,Kleingewerbetreibender,Spandau,05400944,Kladower Damm,Gatow/Kladow,Gatow / Kladow,Kladow
55392561570,Berlin,12163,52.462964909,13.326244114,47770,4777,47,1 - 3 Beschäftigte,EH m. Uhren u. Schmuck,EH m. Uhren u. Schmuck,Einzelhandel (ohne Handel mit Kraftfahrzeugen),36,Kleingewerbetreibender,Steglitz-Zehlendorf,06100103,Markelstraße,Schloßstraße,Steglitz,Steglitz
1180130471768,Berlin,13467,52.622852916,13.324310591,59110,5911,59,0 Beschäftigte,"H. v. Filmen, Videofilmen u. Fernsehprogrammen","H. v. Filmen, Videofilmen u. Fernsehprogrammen","Herstellung, Verleih u. Vertrieb v. Filmen u. Fernsehprogram",2,im Handelsregister eingetragen,Reinickendorf,12400723,Hermsdorf Ost/Waldsee,Nord 1 - Frohnau/Hermsdorf,Grüner Norden,Hermsdorf
72255561022,Berlin,12524,52.407303164,13.523266783,662200,6622,66,1 - 3 Beschäftigte,Versicherungsvertreter,Tätigkeit v. Versicherungsmaklerinnen u. -maklern,Mit Finanz- u. Versicherungsdienstleistungen verbundene Täti,27,im Handelsregister eingetragen,Treptow-Köpenick,09300920,Dorf Altglienicke,Altglienicke,Treptow-Köpenick 3,Altglienicke
73417061668,Berlin,13349,52.558181153,13.342825080,96090,9609,96,1 - 3 Beschäftigte,Erbringung v. sonstigen Dienstleistungen a. n. g.,Erbringung v. sonstigen Dienstleistungen a. n. g.,Erbringung v. sonstigen überwiegend persönlichen Dienstleist,27,im Handelsregister eingetragen,Mitte,01400939,Glasgower Straße,Parkviertel,Wedding,Wedding
7669606784,Berlin,10178,52.521605927,13.414597436,47710,4771,47,7 - 9 Beschäftigte,EH m. Bekleidung,EH m. Bekleidung,Einzelhandel (ohne Handel mit Kraftfahrzeugen),27,Kleingewerbetreibender,Mitte,01100310,Alexanderplatzviertel,Alexanderplatz,Zentrum,Mitte
7612056482,Berlin,12526,52.395211485,13.577547727,47782,4778,47,0 Beschäftigte,EH m. Foto- u. optischen Erzeugnissen (ohne Augenoptiker),Sonstiger Einzelhandel in Verkaufsräumen (ohne Antiquitäten,Einzelhandel (ohne Handel mit Kraftfahrzeugen),27,im Handelsregister eingetragen,Treptow-Köpenick,09301025,Alt-Bohnsdorf,Bohnsdorf,Treptow-Köpenick 3,Bohnsdorf
