opendata_id,city,postcode,latitude,longitude,ihk_branch_id,nace_id,branch_top_level_id,employees_range,ihk_branch_desc,nace_desc,branch_top_level_desc,business_age,business_type,Bezirk,planungsraum_id,Planungsraum,Bezirksregion,Prognoseraum,Ortsteil
130260061040,Berlin,12557,52.424554517,13.585627485,5030,5030,50,4 - 6 Beschäftigte,Personenbeförderung in der Binnenschifffahrt,Personenbeförderung in der Binnenschifffahrt,Schifffahrt,25,im Handelsregister eingetragen,Treptow-Köpenick,09401329,Kietzer Feld/Nachtheide,Köpenick Süd,Treptow-Köpenick 4,Köpenick
14865006600,Berlin,12685,52.539979823,13.546303072,68311,6831,68,0 Beschäftigte,"Vermittlung v. Wohngrundstücken, Wohngebäuden u. Wohnungen f","Vermittlung v. Grundstücken, Gebäuden u. Wohnungen f. Dritte",Grundstücks- u. Wohnungswesen,25,im Handelsregister eingetragen,Marzahn-Hellersdorf,10100313,Alt-Marzahn,Marzahn Süd,Marzahn,Marzahn
219440061760,Berlin,13591,52.543616287,13.158860531,68311,6831,68,0 Beschäftigte,"Vermittlung v. Wohngrundstücken, Wohngebäuden u. Wohnungen f","Vermittlung v. Grundstücken, Gebäuden u. Wohnungen f. Dritte",Grundstücks- u. Wohnungswesen,23,im Handelsregister eingetragen,Spandau,05100211,An der Kappe,Falkenhagener Feld,Spandau Mitte / Nord,Staaken
92163247108,Berlin,10243,52.511237666,13.446969051,47410,4741,47,1 - 3 Beschäftigte,"EH m. Datenverarbeitungsgeräten, peripheren Geräten u. Softw","EH m. Datenverarbeitungsgeräten, peripheren Geräten u. Softw",Einzelhandel (ohne Handel mit Kraftfahrzeugen),32,im Handelsregister eingetragen,Friedrichshain-Kreuzberg,02400624,Weberwiese,Karl-Marx-Allee Süd,Friedrichshain West,Friedrichshain
60689107970,Berlin,12555,52.458454669,13.578939464,56103,5610,56,1 - 3 Beschäftigte,Imbissstuben u.ä.,"Restaurants, Gaststätten, Imbissstuben, Cafés, Eissalons u.",Gastronomie,15,im Handelsregister eingetragen,Treptow-Köpenick,09501939,Bahnhofstraße,Dammvorstadt,Treptow-Köpenick 5,Köpenick
63746467882,Berlin,10178,52.521144639,13.403766044,62090,6209,62,0 Beschäftigte,Erbringung v. sonstigen Dienstleistungen der Informationstec,Erbringung v. sonstigen Dienstleistungen der Informationstec,Erbringung v. Dienstleistungen der Informationstechnologie,15,im Handelsregister eingetragen,Mitte,01100310,Alexanderplatzviertel,Alexanderplatz,Zentrum,Mitte
657534671782,Berlin,14109,52.39812485,13.143889866,32990,3299,32,0 Beschäftigte,H. v. sonstigen Erzeugnissen a. n. g.,H. v. sonstigen Erzeugnissen a. n. g.,H. v. sonstigen Waren,14,im Handelsregister eingetragen,Steglitz-Zehlendorf,06400735,Wannsee,Zehlendorf Südwest,Zehlendorf Nord/Wannsee,Wannsee
74307907930,Berlin,12557,52.439892955,13.581985161,74102,7410,74,0 Beschäftigte,Grafik- u. Kommunikationsdesign,"Ateliers f. Textil-, Schmuck-, Grafik- u. ä. Design","Sonstige freiberufliche, wissenschaftliche u. technische Tät",12,im Handelsregister eingetragen,Treptow-Köpenick,09401534,Altstadt Köpenick,Altstadt Köpenick,Treptow-Köpenick 4,Köpenick
775047671492,Berlin,13593,52.523261014,13.172090807,494108,4941,49,0 Beschäftigte,Erlaubnisfreier u. freigestellter Straßengüterverkehr (ohne,Güterbeförderung im Straßenverkehr,Landverkehr u. Transport in Rohrfernleitungen,11,im Handelsregister eingetragen,Spandau,05200527,Maulbeerallee,Heerstraße,Wilhelmstadt / Staaken,Staaken
824286671622,Berlin,10315,52.511206083,13.528538882,79110,7911,79,0 Beschäftigte,Reisebüros,Reisebüros,"Reisebüros, Reiseveranstalter u. Erbringung sonstiger Reserv",10,im Handelsregister eingetragen,Lichtenberg,11401033,Gensinger Straße,Friedrichsfelde Nord,Lichtenberg Mitte,Friedrichsfelde
884881871606,Berlin,13187,52.566378177,13.40885583,855993,8559,85,0 Beschäftigte,Durchführung v. Seminaren / Workshops,Sonstiger Unterricht a. n. g.,Erziehung u. Unterricht,9,im Handelsregister eingetragen,Pankow,03400723,Garbátyplatz,Pankow Zentrum,Südliches Pankow,Pankow
91158247608,Berlin,10245,52.504562237,13.449501135,62030,6203,62,0 Beschäftigte,Betrieb v. Datenverarbeitungseinrichtungen f. Dritte,Betrieb v. Datenverarbeitungseinrichtungen f. Dritte,Erbringung v. Dienstleistungen der Informationstechnologie,9,Kleingewerbetreibender,Friedrichshain-Kreuzberg,02500835,Stralauer Kiez,Frankfurter Allee Süd FK,Friedrichshain Ost,Friedrichshain
103447327244,Berlin,14052,52.51080831,13.262768067,821100,8211,82,0 Beschäftigte,Büroservice,Allgemeine Sekretariats- u. Schreibdienste,Erbringung v. wirtschaftlichen Dienstleistungen f. Unternehm,6,im Handelsregister eingetragen,Charlottenburg-Wilmersdorf,04200310,Fürstenplatz,Westend,Charlottenburg West,Westend
1092310871036,Berlin,13359,52.559753302,13.377187056,56101,5610,56,1 - 3 Beschäftigte,Restaurants mit herkömmlicher Bedienung,"Restaurants, Gaststätten, Imbissstuben, Cafés, Eissalons u.",Gastronomie,5,Kleingewerbetreibender,Mitte,01300730,Drontheimer Straße,Osloer Straße,Gesundbrunnen,Gesundbrunnen
1137370871236,Berlin,12055,52.477006382,13.44765173,432911,4329,43,0 Beschäftigte,Akustik- u. Trockenbau,Sonstige Bauinstallation,"Vorbereitende Baustellenarbeiten, Bauinstallation u. sonstig",4,im Handelsregister eingetragen,Neukölln,08100415,Ganghoferstraße,Rixdorf,Neukölln,Neukölln
1102098071660,Berlin,14169,52.438439686,13.262752525,46692,4669,46,0 Beschäftigte,GH m. sonstigen Maschinen,GH m. sonstigen Maschinen u. Ausrüstungen,Großhandel (ohne Handel mit Kraftfahrzeugen u. Krafträdern),5,Kleingewerbetreibender,Steglitz-Zehlendorf,06400841,Zehlendorf Eiche,Zehlendorf Nord,Zehlendorf Nord/Wannsee,Zehlendorf
