opendata_id,city,postcode,latitude,longitude,ihk_branch_id,nace_id,branch_top_level_id,employees_range,ihk_branch_desc,nace_desc,branch_top_level_desc,business_age,business_type,Bezirk,planungsraum_id,Planungsraum,Bezirksregion,Prognoseraum,Ortsteil
7156106244,Berlin,13595,52.523110262,13.194761693,475400,4754,47,0 Beschäftigte,EH m. Alarm- u. Sicherheitsgeräten,EH m. elektrischen Haushaltsgeräten,Einzelhandel (ohne Handel mit Kraftfahrzeugen),27,im Handelsregister eingetragen,Spandau,05200630,Wilhelmstadt West,Wilhelmstadt,Wilhelmstadt / Staaken,Wilhelmstadt
153855061420,Berlin,12681,52.530137898,13.523691821,2651,2651,26,1 - 3 Beschäftigte,"H. v. Mess-, Kontroll-, Navigations- u. ä. Instrumenten u. V","H. v. Mess-, Kontroll-, Navigations- u. ä. Instrumenten u. V","H. v. Datenverarbeitungsgeräten, elektronischen u. optischen",30,Kleingewerbetreibender,Marzahn-Hellersdorf,10100311,Marzahner Chaussee,Marzahn Süd,Marzahn,Marzahn
16910956438,Berlin,12685,52.541726381,13.571544241,960102,9601,96,1 - 3 Beschäftigte,Annahmestellen f. Wäscherei u. chemische Reinigung,Wäscherei u. chemische Reinigung,Erbringung v. sonstigen überwiegend persönlichen Dienstleist,25,im Handelsregister eingetragen,Marzahn-Hellersdorf,10100316,Landsberger Tor,Marzahn Süd,Marzahn,Marzahn
1665165666,Berlin,10117,52.508103857,13.392405975,41101,4110,41,1 - 3 Beschäftigte,Erschließung v. unbebauten Grundstücken,Erschließung v. Grundstücken; Bauträger,Hochbau,24,Kleingewerbetreibender,Mitte,01100207,Leipziger Straße,Regierungsviertel,Zentrum,Mitte
18869806792,Berlin,12623,52.490364561,13.606999681,4511,4511,45,0 Beschäftigte,"Handel m. Kraftwagen mit einem Gesamtgewicht v. 3,5 t oder w","Handel m. Kraftwagen mit einem Gesamtgewicht v. 3,5 t oder w",Handel mit Kraftfahrzeugen; Instandhaltung u. Reparatur v. K,24,im Handelsregister eingetragen,Marzahn-Hellersdorf,10400940,Elsensee,Mahlsdorf,Kaulsdorf/Mahlsdorf,Mahlsdorf
18869856794,Berlin,12623,52.485299907,13.61034664,4511,4511,45,0 Beschäftigte,"Handel m. Kraftwagen mit einem Gesamtgewicht v. 3,5 t oder w","Handel m. Kraftwagen mit einem Gesamtgewicht v. 3,5 t oder w",Handel mit Kraftfahrzeugen; Instandhaltung u. Reparatur v. K,24,im Handelsregister eingetragen,Marzahn-Hellersdorf,10400941,Pilgramer Straße,Mahlsdorf,Kaulsdorf/Mahlsdorf,Mahlsdorf
20708256330,Berlin,12555,52.452200322,13.586707546,475231,4752,47,50 - 99 Beschäftigte,"Bau-, Heimwerkermärkte","EH m. Metallwaren, Anstrichmitteln, Bau- u. Heimwerkerbedarf",Einzelhandel (ohne Handel mit Kraftfahrzeugen),23,Kleingewerbetreibender,Treptow-Köpenick,09501941,Friedrichshagener Straße,Dammvorstadt,Treptow-Köpenick 5,Köpenick
2260140656,Berlin,14193,52.483825989,13.27156375,62020,6202,62,1 - 3 Beschäftigte,Erbringung v. Beratungsleistungen auf dem Gebiet der Informa,Erbringung v. Beratungsleistungen auf dem Gebiet der Informa,Erbringung v. Dienstleistungen der Informationstechnologie,22,Kleingewerbetreibender,Charlottenburg-Wilmersdorf,04400728,Hagenplatz,Grunewald,Wilmersdorf Süd,Grunewald
244364061456,Berlin,12167,52.45530915,13.325502225,4751,4751,47,0 Beschäftigte,EH m. Textilien,EH m. Textilien,Einzelhandel (ohne Handel mit Kraftfahrzeugen),22,Kleingewerbetreibender,Steglitz-Zehlendorf,06100207,Mittelstraße,Albrechtstraße,Steglitz,Steglitz
25309806392,Berlin,10243,52.50986416,13.429593562,55102,5510,55,10 - 19 Beschäftigte,Hotels garnis,"Hotels, Gasthöfe u. Pensionen",Beherbergung,22,Kleingewerbetreibender,Friedrichshain-Kreuzberg,02400623,Andreasviertel,Karl-Marx-Allee Süd,Friedrichshain West,Friedrichshain
