opendata_id,city,postcode,latitude,longitude,ihk_branch_id,nace_id,branch_top_level_id,employees_range,ihk_branch_desc,nace_desc,branch_top_level_desc,business_age,business_type,Bezirk,planungsraum_id,Planungsraum,Bezirksregion,Prognoseraum,Ortsteil
97782561130,Berlin,13189,52.569654193,13.424203138,493200,4932,49,0 Beschäftigte,Taxi,Betrieb v. Taxis,Landverkehr u. Transport in Rohrfernleitungen,26,im Handelsregister eingetragen,Pankow,03400830,Kissingenviertel,Pankow Süd,Südliches Pankow,Pankow
9670456818,Berlin,12159,52.468902233,13.333542903,56101,5610,56,1 - 3 Beschäftigte,Restaurants mit herkömmlicher Bedienung,"Restaurants, Gaststätten, Imbissstuben, Cafés, Eissalons u. ä.",Gastronomie,26,im Handelsregister eingetragen,Tempelhof-Schöneberg,07300618,Ceciliengärten,Friedenau Ost,Friedenau,Friedenau
11353256130,Berlin,13585,52.549623195,13.220193075,4778360,4778,47,0 Beschäftigte,"EH m. Fanartikeln, Merchandising",Sonstiger Einzelhandel in Verkaufsräumen (ohne Antiquitäten u. Gebrauchtwaren),Einzelhandel (ohne Handel mit Kraftfahrzeugen),26,im Handelsregister eingetragen,Spandau,05100313,Eiswerder,Spandau Mitte,Spandau Mitte / Nord,Hakenfelde
132764061056,Berlin,14195,52.463981455,13.277266782,68321,6832,68,0 Beschäftigte,"Verwaltung v. Wohngrundstücken, Wohngebäuden u. Wohnungen f. Dritte","Verwaltung v. Grundstücken, Gebäuden u. Wohnungen f. Dritte",Grundstücks- u. Wohnungswesen,25,im Handelsregister eingetragen,Steglitz-Zehlendorf,06400844,Dahlem,Zehlendorf Nord,Zehlendorf Nord/Wannsee,Dahlem
14464056562,Berlin,12621,52.504904908,13.582211961,47192,4719,47,0 Beschäftigte,"EH m. Waren verschiedener Art, Hauptrichtung Nicht-Nahrungsmittel",Sonstiger Einzelhandel m. Waren verschiedener Art,Einzelhandel (ohne Handel mit Kraftfahrzeugen),25,Kleingewerbetreibender,Marzahn-Hellersdorf,10400837,Kaulsdorf Süd,Kaulsdorf,Kaulsdorf/Mahlsdorf,Kaulsdorf
17156406256,Berlin,10829,52.4862494,13.361858301,461891,4618,46,0 Beschäftigte,"HV v. Sport-, Freizeit- u. Campingartikeln",HV v. sonstigen Waren,Großhandel (ohne Handel mit Kraftfahrzeugen u. Krafträdern),24,im Handelsregister eingetragen,Tempelhof-Schöneberg,07200414,Hohenfriedbergstraße,Schöneberg Südost,Schöneberg Süd,Schöneberg
16918506740,Berlin,13156,52.58160735,13.413681807,821100,8211,82,0 Beschäftigte,Büroservice,Allgemeine Sekretariats- u. Schreibdienste,Erbringung v. wirtschaftlichen Dienstleistungen f. Unternehmen u. Privatpersonen a. n. g.,25,im Handelsregister eingetragen,Pankow,03400725,Schlosspark,Pankow Zentrum,Südliches Pankow,Niederschönhausen
17518256730,Berlin,13585,52.546861167,13.201567087,4941,4941,49,0 Beschäftigte,Güterbeförderung im Straßenverkehr,Güterbeförderung im Straßenverkehr,Landverkehr u. Transport in Rohrfernleitungen,24,im Handelsregister eingetragen,Spandau,05100315,Ackerstraße,Spandau Mitte,Spandau Mitte / Nord,Spandau
190306561226,Berlin,13127,52.609185556,13.42042294,821100,8211,82,0 Beschäftigte,Büroservice,Allgemeine Sekretariats- u. Schreibdienste,Erbringung v. wirtschaftlichen Dienstleistungen f. Unternehmen u. Privatpersonen a. n. g.,24,im Handelsregister eingetragen,Pankow,03200310,Krugpfuhl,Buchholz,Nördliches Pankow,Französisch Buchholz
22219306772,Berlin,14052,52.514375612,13.257313334,69203,6920,69,1 - 3 Beschäftigte,"Praxen v. Steuerbevollmächtigten, Steuerberaterinnen u. -beratern, Steuerberatungsgesellschaften",Wirtschaftsprüfung u. Steuerberatung; Buchführung,"Rechts- u. Steuerberatung, Wirtschaftsprüfung",32,Kleingewerbetreibender,Charlottenburg-Wilmersdorf,04200309,Neu Westend,Westend,Charlottenburg West,Westend
218814561258,Berlin,10435,52.540411919,13.412559216,823000,8230,82,0 Beschäftigte,Durchführung v. Veranstaltungen  / Veranstaltungsservice,"Messe-, Ausstellungs- u. Kongressveranstalter",Erbringung v. wirtschaftlichen Dienstleistungen f. Unternehmen u. Privatpersonen a. n. g.,23,im Handelsregister eingetragen,Pankow,03701555,Sredzkistraße,Prenzlauer Berg Südwest,Südlicher Prenzlauer Berg,Prenzlauer Berg
242501566,Berlin,13351,52.553412501,13.338600102,731108,7311,73,0 Beschäftigte,"Promotion, Propagandisten",Werbeagenturen,Werbung u. Marktforschung,22,im Handelsregister eingetragen,Mitte,01400937,Afrikanische Straße,Parkviertel,Wedding,Wedding
256814561258,Berlin,10965,52.488836852,13.387241809,741021,7410,74,0 Beschäftigte,Grafik- / Fotodesign,"Ateliers f. Textil-, Schmuck-, Grafik- u. ä. Design","Sonstige freiberufliche, wissenschaftliche u. technische Tätigkeiten",22,im Handelsregister eingetragen,Friedrichshain-Kreuzberg,02200211,Chamissokiez,Tempelhofer Vorstadt,Kreuzberg Süd,Kreuzberg
25753656146,Berlin,10585,52.519073474,13.300479119,56103,5610,56,0 Beschäftigte,Imbissstuben u.ä.,"Restaurants, Gaststätten, Imbissstuben, Cafés, Eissalons u. ä.",Gastronomie,22,im Handelsregister eingetragen,Charlottenburg-Wilmersdorf,04300621,Richard-Wagner-Straße,Otto-Suhr-Allee/Kantstraße,Charlottenburg Zentrum,Charlottenburg
26619056762,Berlin,12623,52.482321205,13.586828129,73110,7311,73,0 Beschäftigte,Werbeagenturen,Werbeagenturen,Werbung u. Marktforschung,21,im Handelsregister eingetragen,Marzahn-Hellersdorf,10400940,Elsensee,Mahlsdorf,Kaulsdorf/Mahlsdorf,Mahlsdorf
27657256290,Berlin,10777,52.496893608,13.337798138,7219,7219,72,0 Beschäftigte,"Sonstige Forschung u. Entwicklung im Bereich Natur-, Ingenieur-, Agrarwissenschaften u. Medizin","Sonstige Forschung u. Entwicklung im Bereich Natur-, Ingenieur-, Agrarwissenschaften u. Medizin",Forschung u. Entwicklung,22,Kleingewerbetreibender,Tempelhof-Schöneberg,07100101,Wittenbergplatz,Schöneberg Nordwest,Schöneberg Nord,Schöneberg
279949061796,Berlin,10997,52.500511409,13.444583874,47610,4761,47,0 Beschäftigte,EH m. Büchern,EH m. Büchern,Einzelhandel (ohne Handel mit Kraftfahrzeugen),21,im Handelsregister eingetragen,Friedrichshain-Kreuzberg,02300419,Wrangelkiez,Südliche Luisenstadt,Kreuzberg Ost,Kreuzberg
27019706788,Berlin,14167,52.42829729,13.265832054,6810,6810,68,0 Beschäftigte,"Kauf u. Verkauf v. eigenen Grundstücken, Gebäuden u. Wohnungen","Kauf u. Verkauf v. eigenen Grundstücken, Gebäuden u. Wohnungen",Grundstücks- u. Wohnungswesen,22,Kleingewerbetreibender,Steglitz-Zehlendorf,06300528,Teltower Damm,Teltower Damm,Zehlendorf Süd/Lichterfelde West,Zehlendorf
295790061160,Berlin,12355,52.413684546,13.500588216,661901,6619,66,0 Beschäftigte,Vermittlung v. Bausparverträgen,Sonstige mit Finanzdienstleistungen verbundene Tätigkeiten,Mit Finanz- u. Versicherungsdienstleistungen verbundene Tätigkeiten,20,im Handelsregister eingetragen,Neukölln,08401244,Waßmannsdorfer Chaussee,Rudow,Buckow Nord/Rudow,Rudow
314000060,Berlin,14052,52.513225504,13.257959302,68311,6831,68,0 Beschäftigte,"Vermittlung v. Wohngrundstücken, Wohngebäuden u. Wohnungen f. Dritte","Vermittlung v. Grundstücken, Gebäuden u. Wohnungen f. Dritte",Grundstücks- u. Wohnungswesen,20,im Handelsregister eingetragen,Charlottenburg-Wilmersdorf,04200309,Neu Westend,Westend,Charlottenburg West,Westend
33120006800,Berlin,13589,52.558205631,13.156300208,78100,7810,78,0 Beschäftigte,Vermittlung v. Arbeitskräften,Vermittlung v. Arbeitskräften,Vermittlung u. Überlassung v. Arbeitskräften,19,im Handelsregister eingetragen,Spandau,05100206,Griesingerstraße,Falkenhagener Feld,Spandau Mitte / Nord,Falkenhagener Feld
321434561738,Berlin,12355,52.419917405,13.518990683,47111,4711,47,0 Beschäftigte,"EH m. Nahrungs- u. Genussmitteln, Getränken u. Tabakwaren, ohne ausgeprägten Schwerpunkt","EH m. Waren verschiedener Art, Hauptrichtung Nahrungs- u. Genussmittel, Getränke u. Tabakwaren",Einzelhandel (ohne Handel mit Kraftfahrzeugen),20,im Handelsregister eingetragen,Neukölln,08401246,Waltersdorfer Chaussee Ost,Rudow,Buckow Nord/Rudow,Rudow
3210170668,Berlin,10789,52.500892884,13.342952971,472400,4724,47,0 Beschäftigte,EH m. Backwaren,EH m. Back- u. Süßwaren,Einzelhandel (ohne Handel mit Kraftfahrzeugen),20,im Handelsregister eingetragen,Tempelhof-Schöneberg,07100101,Wittenbergplatz,Schöneberg Nordwest,Schöneberg Nord,Schöneberg
347918561674,Berlin,14167,52.431978332,13.278778362,26700,2670,26,0 Beschäftigte,H. v. optischen u. fotografischen Instrumenten u. Geräten,H. v. optischen u. fotografischen Instrumenten u. Geräten,"H. v. Datenverarbeitungsgeräten, elektronischen u. optischen Erzeugnissen",21,Kleingewerbetreibender,Steglitz-Zehlendorf,06300528,Teltower Damm,Teltower Damm,Zehlendorf Süd/Lichterfelde West,Zehlendorf
34366306652,Berlin,12055,52.472155024,13.440939918,56103,5610,56,0 Beschäftigte,Imbissstuben u.ä.,"Restaurants, Gaststätten, Imbissstuben, Cafés, Eissalons u. ä.",Gastronomie,19,im Handelsregister eingetragen,Neukölln,08100208,Körnerpark,Neuköllner Mitte/Zentrum,Neukölln,Neukölln
356426061704,Berlin,10117,52.509448087,13.379741233,682010,6820,68,1 - 3 Beschäftigte,"Verwaltung v. eigenen Grundstücken, Gebäuden u. Wohnungen","Vermietung, Verpachtung v. eigenen oder geleasten Grundstücken, Gebäuden u. Wohnungen",Grundstücks- u. Wohnungswesen,0,Kleingewerbetreibender,Mitte,01100205,Wilhelmstraße,Regierungsviertel,Zentrum,Mitte
356446561786,Berlin,13127,52.614317604,13.431594732,81100,8110,81,0 Beschäftigte,Hausmeisterdienste,Hausmeisterdienste,Gebäudebetreuung; Garten- u. Landschaftsbau,19,im Handelsregister eingetragen,Pankow,03200310,Krugpfuhl,Buchholz,Nördliches Pankow,Französisch Buchholz
36068056722,Berlin,12437,52.469758028,13.475265911,62020,6202,62,0 Beschäftigte,Erbringung v. Beratungsleistungen auf dem Gebiet der Informationstechnologie,Erbringung v. Beratungsleistungen auf dem Gebiet der Informationstechnologie,Erbringung v. Dienstleistungen der Informationstechnologie,19,im Handelsregister eingetragen,Treptow-Köpenick,09100304,Baumschulenweg West,Baumschulenweg,Treptow-Köpenick 1,Baumschulenweg
3510090636,Berlin,10179,52.505895486,13.425291023,81100,8110,81,0 Beschäftigte,Hausmeisterdienste,Hausmeisterdienste,Gebäudebetreuung; Garten- u. Landschaftsbau,19,im Handelsregister eingetragen,Mitte,01100313,Heine-Viertel Ost,Alexanderplatz,Zentrum,Mitte
354764561058,Berlin,13187,52.578812066,13.425780109,477610,4776,47,0 Beschäftigte,"EH m. Floristenbedarf, Blumen u. Pflanzen, darunter Weihnachtsbäume, Blumenerde, Blumentöpfe","EH m. Blumen, Pflanzen, Sämereien, Düngemitteln, zoologischem Bedarf u. lebenden Tieren",Einzelhandel (ohne Handel mit Kraftfahrzeugen),19,im Handelsregister eingetragen,Pankow,03400724,Wolfshagener Straße,Pankow Zentrum,Südliches Pankow,Pankow
36868506740,Berlin,13583,52.545237049,13.190721961,81100,8110,81,0 Beschäftigte,Hausmeisterdienste,Hausmeisterdienste,Gebäudebetreuung; Garten- u. Landschaftsbau,19,im Handelsregister eingetragen,Spandau,05100210,Germersheimer Platz,Falkenhagener Feld,Spandau Mitte / Nord,Falkenhagener Feld
39203306132,Berlin,13187,52.57819482,13.420469875,461790,4617,46,0 Beschäftigte,HV v. Lebensmitteln,"HV v. Nahrungsmitteln, Getränken u. Tabakwaren",Großhandel (ohne Handel mit Kraftfahrzeugen u. Krafträdern),18,im Handelsregister eingetragen,Pankow,03400724,Wolfshagener Straße,Pankow Zentrum,Südliches Pankow,Pankow
1310835671452,Berlin,13349,52.551923785,13.349842107,479198,4791,47,0 Beschäftigte,Verkauf über Internet / e-commerce / Onlinehandel,Versand- u. Interneteinzelhandel,Einzelhandel (ohne Handel mit Kraftfahrzeugen),0,im Handelsregister eingetragen,Mitte,01400939,Glasgower Straße,Parkviertel,Wedding,Wedding
408835561342,Berlin,10435,52.536095846,13.418179925,56103,5610,56,1 - 3 Beschäftigte,Imbissstuben u.ä.,"Restaurants, Gaststätten, Imbissstuben, Cafés, Eissalons u. ä.",Gastronomie,18,im Handelsregister eingetragen,Pankow,03701556,Kollwitzplatz,Prenzlauer Berg Südwest,Südlicher Prenzlauer Berg,Prenzlauer Berg
40356506260,Berlin,14193,52.477228908,13.278612694,6810,6810,68,0 Beschäftigte,"Kauf u. Verkauf v. eigenen Grundstücken, Gebäuden u. Wohnungen","Kauf u. Verkauf v. eigenen Grundstücken, Gebäuden u. Wohnungen",Grundstücks- u. Wohnungswesen,17,im Handelsregister eingetragen,Charlottenburg-Wilmersdorf,04400729,Hundekehle,Grunewald,Wilmersdorf Süd,Grunewald
402997061988,Berlin,13627,52.540928227,13.277266475,70220,7022,70,0 Beschäftigte,Unternehmensberatung,Unternehmensberatung,Verwaltung u. Führung v. Unternehmen u. Betrieben; Unternehmensberatung,18,im Handelsregister eingetragen,Charlottenburg-Wilmersdorf,04100101,Jungfernheide/Plötzensee,Charlottenburg Nord,Charlottenburg Nord,Charlottenburg-Nord
418341061364,Berlin,13357,52.554603414,13.375840192,7490009,7490,74,0 Beschäftigte,Sonstige Vermögensberatung,"Sonstige freiberufliche, wissenschaftliche u. technische Tätigkeiten a. n. g.","Sonstige freiberufliche, wissenschaftliche u. technische Tätigkeiten",17,im Handelsregister eingetragen,Mitte,01401045,Schwedenstraße,Wedding Zentrum,Wedding,Gesundbrunnen
453799561198,Berlin,13593,52.514682533,13.165688365,88990,8899,88,0 Beschäftigte,Sonstiges Sozialwesen a. n. g.,Sonstiges Sozialwesen a. n. g.,Sozialwesen (ohne Heime),17,im Handelsregister eingetragen,Spandau,05200528,Weinmeisterhornweg,Heerstraße,Wilhelmstadt / Staaken,Wilhelmstadt
467258561034,Berlin,13405,52.562730844,13.329791507,47799,4779,47,0 Beschäftigte,EH m. sonstigen Gebrauchtwaren,EH m. Antiquitäten u. Gebrauchtwaren,Einzelhandel (ohne Handel mit Kraftfahrzeugen),16,im Handelsregister eingetragen,Reinickendorf,12200309,Scharnweberstraße,West 4 - Auguste-Viktoria-Allee,Tegel,Reinickendorf
467913061652,Berlin,12587,52.448108571,13.627695026,13300,1330,13,0 Beschäftigte,Veredlung v. Textilien u. Bekleidung,Veredlung v. Textilien u. Bekleidung,H. v. Textilien,16,im Handelsregister eingetragen,Treptow-Köpenick,09501737,Alt-Friedrichshagen,Friedrichshagen,Treptow-Köpenick 5,Friedrichshagen
47123256930,Berlin,10115,52.526534376,13.389823285,731108,7311,73,0 Beschäftigte,"Promotion, Propagandisten",Werbeagenturen,Werbung u. Marktforschung,16,im Handelsregister eingetragen,Mitte,01100309,Oranienburger Straße,Alexanderplatz,Zentrum,Mitte
