opendata_id,city,postcode,latitude,longitude,ihk_branch_id,nace_id,branch_top_level_id,employees_range,ihk_branch_desc,nace_desc,branch_top_level_desc,business_age,business_type,Bezirk,planungsraum_id,Planungsraum,Bezirksregion,Prognoseraum,Ortsteil
1003485174,Berlin,14169,52.451133255,13.261917015,59110,5911,59,1 - 3 Beschäftigte,"H. v. Filmen, Videofilmen u. Fernsehprogrammen","H. v. Filmen, Videofilmen u. Fernsehprogrammen","Herstellung, Verleih u. Vertrieb v. Filmen u. Fernsehprogram",38,Kleingewerbetreibender,Steglitz-Zehlendorf,06400840,Fischtal,Zehlendorf Nord,Zehlendorf Nord/Wannsee,Zehlendorf
94040047668,Berlin,10967,52.4895591,13.424526898,62020,6202,62,1 - 3 Beschäftigte,Erbringung v. Beratungsleistungen auf dem Gebiet der Informa,Erbringung v. Beratungsleistungen auf dem Gebiet der Informa,Erbringung v. Dienstleistungen der Informationstechnologie,8,Kleingewerbetreibender,Neukölln,08100311,Reuterplatz,Reuterstraße,Neukölln,Neukölln
7067556702,Berlin,10969,52.502553906,13.414164189,18200,1820,18,0 Beschäftigte,"Vervielfältigung v. bespielten Ton-, Bild- u. Datenträgern","Vervielfältigung v. bespielten Ton-, Bild- u. Datenträgern",H. v. Druckerzeugnissen; Vervielfältigung v. bespielten Ton-,27,im Handelsregister eingetragen,Friedrichshain-Kreuzberg,02100104,Moritzplatz,Südliche  Friedrichstadt,Kreuzberg Nord,Kreuzberg
7720306812,Berlin,14057,52.504928721,13.298762236,4642,4642,46,0 Beschäftigte,GH m. Bekleidung u. Schuhen,GH m. Bekleidung u. Schuhen,Großhandel (ohne Handel mit Kraftfahrzeugen u. Krafträdern),13,im Handelsregister eingetragen,Charlottenburg-Wilmersdorf,04300416,Amtsgerichtsplatz,Schloss Charlottenburg,Charlottenburg Zentrum,Charlottenburg
83254061016,Berlin,10555,52.515758305,13.336694198,56103,5610,56,0 Beschäftigte,Imbissstuben u.ä.,"Restaurants, Gaststätten, Imbissstuben, Cafés, Eissalons u.",Gastronomie,27,im Handelsregister eingetragen,Mitte,01200629,Hansaviertel,Moabit Ost,Moabit,Hansaviertel
83494061976,Berlin,14057,52.503212361,13.293055461,7490009,7490,74,1 - 3 Beschäftigte,Sonstige Vermögensberatung,"Sonstige freiberufliche, wissenschaftliche u. technische Tät","Sonstige freiberufliche, wissenschaftliche u. technische Tät",36,Kleingewerbetreibender,Charlottenburg-Wilmersdorf,04300416,Amtsgerichtsplatz,Schloss Charlottenburg,Charlottenburg Zentrum,Charlottenburg
93479061916,Berlin,12627,52.537418942,13.605587726,66,66,66,1 - 3 Beschäftigte,Mit Finanz- u. Versicherungsdienstleistungen verbundene Täti,Mit Finanz- u. Versicherungsdienstleistungen verbundene Täti,Mit Finanz- u. Versicherungsdienstleistungen verbundene Täti,26,Kleingewerbetreibender,Marzahn-Hellersdorf,10200421,Helle Mitte,Hellersdorf Nord,Hellersdorf,Hellersdorf
102325561302,Berlin,12107,52.440748892,13.388942967,62090,6209,62,0 Beschäftigte,Erbringung v. sonstigen Dienstleistungen der Informationstec,Erbringung v. sonstigen Dienstleistungen der Informationstec,Erbringung v. Dienstleistungen der Informationstechnologie,26,im Handelsregister eingetragen,Tempelhof-Schöneberg,07501031,Eisenacher Straße,Mariendorf Nord,Mariendorf,Mariendorf
9865856634,Berlin,13405,52.564598706,13.320584734,463702,4637,46,1 - 3 Beschäftigte,GH m. Gewürzen,"GH m. Kaffee, Tee, Kakao u. Gewürzen",Großhandel (ohne Handel mit Kraftfahrzeugen u. Krafträdern),26,Kleingewerbetreibender,Reinickendorf,12200411,Schumacher-Quartier,West 1 - Tegel-Süd/Flughafensee,Tegel,Reinickendorf
100285061140,Berlin,10787,52.504036768,13.342992113,68311,6831,68,0 Beschäftigte,"Vermittlung v. Wohngrundstücken, Wohngebäuden u. Wohnungen f","Vermittlung v. Grundstücken, Gebäuden u. Wohnungen f. Dritte",Grundstücks- u. Wohnungswesen,26,im Handelsregister eingetragen,Tempelhof-Schöneberg,07100101,Wittenbergplatz,Schöneberg Nordwest,Schöneberg Nord,Schöneberg
98849561398,Berlin,12109,52.452017817,13.384289529,662200,6622,66,0 Beschäftigte,Versicherungsvertreter,Tätigkeit v. Versicherungsmaklerinnen u. -maklern,Mit Finanz- u. Versicherungsdienstleistungen verbundene Täti,26,im Handelsregister eingetragen,Tempelhof-Schöneberg,07501030,Machonstraße,Mariendorf Nord,Mariendorf,Mariendorf
11771256850,Berlin,12685,52.540381673,13.559389431,562900,5629,56,0 Beschäftigte,Kantinen,Erbringung sonstiger Verpflegungsdienstleistungen,Gastronomie,26,im Handelsregister eingetragen,Marzahn-Hellersdorf,10100314,Auersbergstraße,Marzahn Süd,Marzahn,Marzahn
113915561662,Berlin,12107,52.43998314,13.384601062,47789,4778,47,0 Beschäftigte,Sonstiger Einzelhandel a. n. g. (in Verkaufsräumen),Sonstiger Einzelhandel in Verkaufsräumen (ohne Antiquitäten,Einzelhandel (ohne Handel mit Kraftfahrzeugen),26,im Handelsregister eingetragen,Tempelhof-Schöneberg,07501030,Machonstraße,Mariendorf Nord,Mariendorf,Mariendorf
12556106244,Berlin,12557,52.429960009,13.596123796,463600,4636,46,0 Beschäftigte,GH m. Süßwaren,"GH m. Zucker, Süßwaren u. Backwaren",Großhandel (ohne Handel mit Kraftfahrzeugen u. Krafträdern),26,im Handelsregister eingetragen,Treptow-Köpenick,09401329,Kietzer Feld/Nachtheide,Köpenick Süd,Treptow-Köpenick 4,Köpenick
140354061416,Berlin,13439,52.606510048,13.362600288,69204,6920,69,0 Beschäftigte,Buchführung (ohne Datenverarbeitungsdienste),Wirtschaftsprüfung u. Steuerberatung; Buchführung,"Rechts- u. Steuerberatung, Wirtschaftsprüfung",25,im Handelsregister eingetragen,Reinickendorf,12601134,Märkisches Zentrum,MV Nord,Märkisches Viertel,Märkisches Viertel
13561606464,Berlin,14165,52.421625216,13.26233652,68321,6832,68,0 Beschäftigte,"Verwaltung v. Wohngrundstücken, Wohngebäuden u. Wohnungen f.","Verwaltung v. Grundstücken, Gebäuden u. Wohnungen f. Dritte",Grundstücks- u. Wohnungswesen,25,im Handelsregister eingetragen,Steglitz-Zehlendorf,06300528,Teltower Damm,Teltower Damm,Zehlendorf Süd/Lichterfelde West,Zehlendorf
135404561618,Berlin,13125,52.620464959,13.479324458,479991,4799,47,0 Beschäftigte,Versandhandelsvertretung,"Sonstiger Einzelhandel nicht in Verkaufsräumen, an Verkaufss",Einzelhandel (ohne Handel mit Kraftfahrzeugen),25,im Handelsregister eingetragen,NULL,,NULL,NULL,NULL,Karow
135410561642,Berlin,13055,52.546395274,13.502217685,77320,7732,77,1 - 3 Beschäftigte,Vermietung v. Baumaschinen u. -geräten,Vermietung v. Baumaschinen u. -geräten,Vermietung v. beweglichen Sachen,25,Kleingewerbetreibender,Lichtenberg,11200411,Hauptstraße,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,Alt-Hohenschönhausen
13766656666,Berlin,13465,52.629832962,13.276675091,869093,8690,86,0 Beschäftigte,"Fußpflege, medizinisch / Podologe",Gesundheitswesen a. n. g.,Gesundheitswesen,25,im Handelsregister eingetragen,Reinickendorf,12400720,Frohnau West,Nord 1 - Frohnau/Hermsdorf,Grüner Norden,Frohnau
13719956798,Berlin,12587,52.456427732,13.634207733,68311,6831,68,1 - 3 Beschäftigte,"Vermittlung v. Wohngrundstücken, Wohngebäuden u. Wohnungen f","Vermittlung v. Grundstücken, Gebäuden u. Wohnungen f. Dritte",Grundstücks- u. Wohnungswesen,25,Kleingewerbetreibender,Treptow-Köpenick,09501737,Alt-Friedrichshagen,Friedrichshagen,Treptow-Köpenick 5,Friedrichshagen
13720556822,Berlin,10623,52.50664977,13.325692098,68321,6832,68,1 - 3 Beschäftigte,"Verwaltung v. Wohngrundstücken, Wohngebäuden u. Wohnungen f.","Verwaltung v. Grundstücken, Gebäuden u. Wohnungen f. Dritte",Grundstücks- u. Wohnungswesen,25,Kleingewerbetreibender,Charlottenburg-Wilmersdorf,04300624,Savignyplatz,Otto-Suhr-Allee/Kantstraße,Charlottenburg Zentrum,Charlottenburg
13121156846,Berlin,13086,52.551708527,13.459038447,88990,8899,88,0 Beschäftigte,Sonstiges Sozialwesen a. n. g.,Sonstiges Sozialwesen a. n. g.,Sozialwesen (ohne Heime),26,Kleingewerbetreibender,Pankow,03500933,Weißer See,Weißensee,Südliches Weißensee,Weißensee
144868561474,Berlin,10719,52.499382391,13.328542524,412010,4120,41,10 - 19 Beschäftigte,"Altbausanierung, Renovierung u. Umbauten",Bau v. Gebäuden,Hochbau,25,Kleingewerbetreibender,Charlottenburg-Wilmersdorf,04501045,Schaperstraße,Lietzenburger Straße,Wilmersdorf Zentrum,Wilmersdorf
16521806872,Berlin,14193,52.484185793,13.274727572,855993,8559,85,7 - 9 Beschäftigte,Durchführung v. Seminaren / Workshops,Sonstiger Unterricht a. n. g.,Erziehung u. Unterricht,24,Kleingewerbetreibender,Charlottenburg-Wilmersdorf,04400728,Hagenplatz,Grunewald,Wilmersdorf Süd,Grunewald
158987561950,Berlin,14199,52.48102523,13.288484377,68,68,68,1 - 3 Beschäftigte,Grundstücks- u. Wohnungswesen,Grundstücks- u. Wohnungswesen,Grundstücks- u. Wohnungswesen,25,Kleingewerbetreibender,Charlottenburg-Wilmersdorf,04400830,Forckenbeckstraße,Schmargendorf,Wilmersdorf Süd,Schmargendorf
15719006760,Berlin,12169,52.452614168,13.35211026,662200,6622,66,1 - 3 Beschäftigte,Versicherungsvertreter,Tätigkeit v. Versicherungsmaklerinnen u. -maklern,Mit Finanz- u. Versicherungsdienstleistungen verbundene Täti,25,im Handelsregister eingetragen,Steglitz-Zehlendorf,06100204,Munsterdamm,Albrechtstraße,Steglitz,Steglitz
15663756550,Berlin,12047,52.486724648,13.427831398,79110,7911,79,0 Beschäftigte,Reisebüros,Reisebüros,"Reisebüros, Reiseveranstalter u. Erbringung sonstiger Reserv",26,Kleingewerbetreibender,Neukölln,08100314,Donaustraße,Reuterstraße,Neukölln,Neukölln
167781061124,Berlin,12627,52.537705312,13.605035916,79110,7911,79,1 - 3 Beschäftigte,Reisebüros,Reisebüros,"Reisebüros, Reiseveranstalter u. Erbringung sonstiger Reserv",24,Kleingewerbetreibender,Marzahn-Hellersdorf,10200421,Helle Mitte,Hellersdorf Nord,Hellersdorf,Hellersdorf
168487561950,Berlin,12683,52.494518149,13.563132002,92001,9200,92,0 Beschäftigte,Spielhallen u. Betrieb v. Spielautomaten,"Spiel-, Wett- u. Lotteriewesen","Spiel-, Wett- u. Lotteriewesen",20,im Handelsregister eingetragen,Marzahn-Hellersdorf,10300734,Biesdorf Süd,Biesdorf,Biesdorf,Biesdorf
166967561870,Berlin,12157,52.467638359,13.342389926,56101,5610,56,1 - 3 Beschäftigte,Restaurants mit herkömmlicher Bedienung,"Restaurants, Gaststätten, Imbissstuben, Cafés, Eissalons u.",Gastronomie,25,im Handelsregister eingetragen,Tempelhof-Schöneberg,07300619,Grazer Platz,Friedenau Ost,Friedenau,Schöneberg
